,bin1_phased,bin2_phased,bin1_unphased,bin2_unphased
1878,3117,3154,4,41
2269,4,50,4,50
2586,3117,3321,4,208
3310,5,67,5,67
4148,3119,3318,6,205
7898,11,19,11,19
8126,3124,3140,11,27
9666,3127,3133,14,20
9917,15,18,15,18
10128,15,3128,15,15
12172,3131,3316,18,203
12379,19,53,19,53
13321,20,54,20,54
15072,23,62,23,62
16543,3138,3141,25,28
17241,26,49,26,49
19310,3142,3148,29,35
19644,3143,3148,30,35
19713,3143,3147,30,34
20006,3143,3318,30,205
26023,3153,153,40,153
26747,3154,3276,41,163
26815,3155,3263,42,150
31013,3160,3175,47,62
35016,3167,3343,54,230
35061,3167,3346,54,233
35356,3167,3357,54,244
37109,3169,3174,56,61
37772,57,61,57,61
39231,3173,3192,60,79
41337,3176,3360,63,247
41920,3177,3195,64,82
45706,3184,3197,71,84
46344,72,105,72,105
47281,74,101,74,101
50728,3195,3300,82,187
50748,82,93,82,93
51178,3196,3199,83,86
51229,83,104,83,104
54759,3203,3290,90,177
58879,3212,3290,99,177
66942,119,244,119,244
68068,3260,3283,147,170
69131,3263,3335,150,222
69568,3264,3339,151,226
69884,3264,3302,151,189
70107,3265,3303,152,190
70390,3265,3288,152,175
70613,3266,3277,153,164
71246,3267,3281,154,168
74719,159,210,159,210
76035,3274,3278,161,165
76334,162,202,162,202
76778,3276,3302,163,189
78347,167,171,167,171
81350,3285,3291,172,178
82819,175,201,175,201
83862,3290,177,177,177
84146,177,3344,177,231
84952,179,232,179,232
86194,3294,3323,181,210
86211,3294,3324,181,211
89035,3298,3327,185,214
89064,3298,3339,185,226
90185,187,196,187,196
90899,3302,3331,189,218
91566,3304,3326,191,213
91784,3304,3325,191,212
93101,3307,3325,194,212
93871,3309,3361,196,248
94252,3310,3345,197,232
94660,3310,3340,197,227
94718,3310,3361,197,248
94914,3311,3333,198,220
95801,3312,3326,199,213
97446,3314,3321,201,208
98331,203,209,203,209
98537,204,210,204,210
103462,3326,3349,213,236
103559,3327,3350,214,237
103598,214,234,214,234
104009,3327,3333,214,220
105248,216,239,216,239
105676,217,243,217,243
105741,218,242,218,242
106042,3331,3334,218,221
106575,219,244,219,244
106967,220,223,220,223
107906,221,224,221,224
109904,3339,3349,226,236
110085,227,238,227,238
110225,3340,3354,227,241
112018,3344,3360,231,247
112513,3345,3358,232,245
114573,3349,3361,236,248
115983,3353,3360,240,247
116119,3353,3361,240,248
119423,20,3390,20,277
119676,24,3383,24,270
119709,24,3393,24,280
120900,45,3374,45,261
121173,47,3432,47,319
121307,48,3433,48,320
121416,48,3396,48,283
121421,48,3533,48,420
121513,49,3532,49,419
121536,49,3402,49,289
121880,3168,457,55,457
122047,63,3372,63,259
122325,65,3373,65,260
122443,67,3375,67,262
122969,74,3413,74,300
123307,76,3514,76,401
123754,79,3515,79,402
