,chrom,start,end
0,chr1_0,0,1000000
1,chr1_0,1000000,2000000
2,chr1_0,2000000,3000000
3,chr1_0,3000000,4000000
4,chr1_0,4000000,5000000
5,chr1_0,5000000,6000000
6,chr1_0,6000000,7000000
7,chr1_0,7000000,8000000
8,chr1_0,8000000,9000000
9,chr1_0,9000000,10000000
10,chr1_0,10000000,11000000
11,chr1_0,11000000,12000000
12,chr1_0,12000000,13000000
13,chr1_0,13000000,14000000
14,chr1_0,14000000,15000000
15,chr1_0,15000000,16000000
16,chr1_0,16000000,17000000
17,chr1_0,17000000,18000000
18,chr1_0,18000000,19000000
19,chr1_0,19000000,20000000
20,chr1_0,20000000,21000000
21,chr1_0,21000000,22000000
22,chr1_0,22000000,23000000
23,chr1_0,23000000,24000000
24,chr1_0,24000000,25000000
25,chr1_0,25000000,26000000
26,chr1_0,26000000,27000000
27,chr1_0,27000000,28000000
28,chr1_0,28000000,29000000
29,chr1_0,29000000,30000000
30,chr1_0,30000000,31000000
31,chr1_0,31000000,32000000
32,chr1_0,32000000,33000000
33,chr1_0,33000000,34000000
34,chr1_0,34000000,35000000
35,chr1_0,35000000,36000000
36,chr1_0,36000000,37000000
37,chr1_0,37000000,38000000
38,chr1_0,38000000,39000000
39,chr1_0,39000000,40000000
40,chr1_0,40000000,41000000
41,chr1_0,41000000,42000000
42,chr1_0,42000000,43000000
43,chr1_0,43000000,44000000
44,chr1_0,44000000,45000000
45,chr1_0,45000000,46000000
46,chr1_0,46000000,47000000
47,chr1_0,47000000,48000000
48,chr1_0,48000000,49000000
49,chr1_0,49000000,50000000
50,chr1_0,50000000,51000000
51,chr1_0,51000000,52000000
52,chr1_0,52000000,53000000
53,chr1_0,53000000,54000000
54,chr1_0,54000000,55000000
55,chr1_0,55000000,56000000
56,chr1_0,56000000,57000000
57,chr1_0,57000000,58000000
58,chr1_0,58000000,59000000
59,chr1_0,59000000,60000000
60,chr1_0,60000000,61000000
61,chr1_0,61000000,62000000
62,chr1_0,62000000,63000000
63,chr1_0,63000000,64000000
64,chr1_0,64000000,65000000
65,chr1_0,65000000,66000000
66,chr1_0,66000000,67000000
67,chr1_0,67000000,68000000
68,chr1_0,68000000,69000000
69,chr1_0,69000000,70000000
70,chr1_0,70000000,71000000
71,chr1_0,71000000,72000000
72,chr1_0,72000000,73000000
73,chr1_0,73000000,74000000
74,chr1_0,74000000,75000000
75,chr1_0,75000000,76000000
76,chr1_0,76000000,77000000
77,chr1_0,77000000,78000000
78,chr1_0,78000000,79000000
79,chr1_0,79000000,80000000
80,chr1_0,80000000,81000000
81,chr1_0,81000000,82000000
82,chr1_0,82000000,83000000
83,chr1_0,83000000,84000000
84,chr1_0,84000000,85000000
85,chr1_0,85000000,86000000
86,chr1_0,86000000,87000000
87,chr1_0,87000000,88000000
88,chr1_0,88000000,89000000
89,chr1_0,89000000,90000000
90,chr1_0,90000000,91000000
91,chr1_0,91000000,92000000
92,chr1_0,92000000,93000000
93,chr1_0,93000000,94000000
94,chr1_0,94000000,95000000
